game_id	game_date	game_serie_id	game_number	game_id_team_home	game_id_team_away	game_name_team_home	game_name_team_away	game_name_pitcher_home	game_name_pitcher_away	game_pitcher_home_ERA	game_pitcher_away_ERA
87	2017-08-31 12:35:00.000	1	20	20	20	New York Mets	Cincinnati Reds	J. deGrom (R)	R. Stephenson (R)	4.07000017166138	5.78999996185303
88	2017-08-31 13:10:00.000	1	20	20	20	Chicago White Sox	Minnesota Twins	M. Gonzalez (R)	B. Colon (R)	5.28999996185303	5.63000011444092
89	2017-08-31 15:40:00.000	1	20	20	20	Los Angeles Dodgers	Arizona Diamondbacks	K. Maeda (R)	Z. Greinke (R)	4.6100001335144	2.33999991416931
90	2017-08-31 19:05:00.000	1	20	20	20	Toronto Blue Jays	Baltimore Orioles	M. Estrada (R)	J. Hellickson (R)	5.28000020980835	5.40000009536743
91	2017-08-31 19:05:00.000	1	20	20	20	Boston Red Sox	New York Yankees	E. Rodriguez (L)	S. Gray (R)	4.15000009536743	3.0699999332428
92	2017-08-31 19:10:00.000	1	20	20	20	Philadelphia Phillies	Miami Marlins	B. Lively (R)	A. Conley (L)	3.98000001907349	7.51999998092651
93	2017-08-31 20:05:00.000	1	20	20	20	Atlanta Braves	Chicago Cubs	S. Newcomb (L)	K. Hendricks (R)	3.67000007629395	3.55999994277954
94	2017-08-31 20:10:00.000	1	20	20	20	Washington Nationals	Milwaukee Brewers	G. Gonzalez (L)	Z. Davies (R)	2.91000008583069	5.96999979019165
95	2017-08-31 20:10:00.000	1	20	20	20	Texas Rangers	Houston Astros	N. Martinez (R)	C. McHugh (R)	5.86999988555908	0.75
96	2017-08-31 22:15:00.000	1	20	20	20	St. Louis Cardinals	San Francisco Giants	M. Wacha (R)	M. Bumgarner (L)	5.57000017166138	2.89000010490417
97	2017-09-01 13:10:00.000	1	20	20	20	Cleveland Indians	Detroit Tigers	M. Clevinger (R)	D. Norris (L)	2.85999989509583	6.26000022888184
98	2017-09-01 14:20:00.000	1	20	20	20	Atlanta Braves	Chicago Cubs	M. Foltynewicz (R)	J. Lackey (R)	5.61999988555908	4.48000001907349
99	2017-09-01 19:00:00.000	1	20	20	20	Boston Red Sox	New York Yankees	D. Fister (R)	M. Tanaka (R)	4.21999979019165	4.03000020980835
100	2017-09-01 19:05:00.000	1	20	20	20	Toronto Blue Jays	Baltimore Orioles	N. Tepesch (R)	K. Gausman (R)	4.90999984741211	5.03000020980835
101	2017-09-01 19:05:00.000	1	20	20	20	Cincinnati Reds	Pittsburgh Pirates	L. Castillo (R)	G. Cole (R)	2.6800000667572	4.23999977111816
102	2017-09-01 19:10:00.000	1	20	20	20	Philadelphia Phillies	Miami Marlins	A. Nola (R)	D. Straily (R)	3.79999995231628	3.00999999046326
103	2017-09-01 19:10:00.000	1	20	20	20	Cleveland Indians	Detroit Tigers	C. Carrasco (R)	M. Boyd (L)	3.00999999046326	6.40000009536743
104	2017-09-01 20:05:00.000	1	20	20	20	Los Angeles Angels	Texas Rangers	T. Skaggs (L)	C. Hamels (L)	2.50999999046326	3.03999996185303
105	2017-09-01 20:10:00.000	1	20	20	20	Tampa Bay Rays	Chicago White Sox	B. Snell (L)	C. Rodon (L)	5.07000017166138	3.02999997138977
106	2017-09-01 20:10:00.000	1	20	20	20	Washington Nationals	Milwaukee Brewers	T. Roark (R)	J. Nelson (R)	4.09999990463257	3.39000010490417
107	2017-09-01 20:10:00.000	1	20	20	20	Kansas City Royals	Minnesota Twins	J. Hammel (R)	D. Gee (R)	4.86999988555908	1.83000004291534
108	2017-09-01 20:10:00.000	1	20	20	20	New York Mets	Houston Astros	R. Gsellman (R)	B. Peacock (R)	7.84999990463257	3.34999990463257
109	2017-09-01 20:40:00.000	1	20	20	20	Arizona Diamondbacks	Colorado Rockies	T. Walker (R)	K. Freeland (L)	3.02999997138977	3.29999995231628
110	2017-09-01 22:10:00.000	1	20	20	20	Oakland Athletics	Seattle Mariners	K. Graveman (R)	Y. Gallardo (R)	6.3899998664856	6.3899998664856
111	2017-09-01 22:10:00.000	1	20	20	20	Los Angeles Dodgers	San Diego Padres	A. Wood (L)	D. Lamet (R)	2.00999999046326	3.98000001907349
112	2017-09-01 22:15:00.000	1	20	20	20	St. Louis Cardinals	San Francisco Giants	M. Leake (R)	C. Stratton (R)	5.05000019073486	5.28000020980835
113	2017-09-02 13:05:00.000	1	20	20	20	Boston Red Sox	New York Yankees	D. Pomeranz (L)	L. Severino (R)	3.08999991416931	4.1399998664856
114	2017-09-02 14:20:00.000	1	20	20	20	Atlanta Braves	Chicago Cubs	L. Sims (R)	J. Lester (L)	5.23000001907349	4.44999980926514
115	2017-09-02 15:40:00.000	1	20	20	20	Los Angeles Dodgers	San Diego Padres	Y. Darvish (R)	C. Richard (L)	1.5	4.96000003814697
116	2017-09-02 16:05:00.000	1	20	20	20	St. Louis Cardinals	San Francisco Giants	L. Lynn (R)	J. Samardzija (R)	3.40000009536743	4.26000022888184
117	2017-09-02 18:10:00.000	1	20	20	20	Cleveland Indians	Detroit Tigers	C. Kluber (R)	J. Zimmermann (R)	3.50999999046326	6.48999977111816
118	2017-09-02 19:05:00.000	1	20	20	20	Toronto Blue Jays	Baltimore Orioles	M. Stroman (R)	C. Tillman (R)	3.75999999046326	6.01999998092651
119	2017-09-02 19:05:00.000	1	20	20	20	Cincinnati Reds	Pittsburgh Pirates	H. Bailey (R)	J. Taillon (R)	5.84000015258789	5.42999982833862
120	2017-09-02 19:10:00.000	1	20	20	20	Tampa Bay Rays	Chicago White Sox	C. Archer (R)	L. Giolito (R)	4.26000022888184	6
121	2017-09-02 19:10:00.000	1	20	20	20	Washington Nationals	Milwaukee Brewers	E. Jackson (R)	B. Woodruff (R)	3.24000000953674	3.1800000667572
122	2017-09-02 19:10:00.000	1	20	20	20	Kansas City Royals	Minnesota Twins	D. Duffy (L)	K. Gibson (R)	4.30000019073486	6.57000017166138
123	2017-09-02 19:10:00.000	1	20	20	20	New York Mets	Houston Astros	S. Lugo (R)	C. Morton (R)	5.65000009536743	3.65000009536743
124	2017-09-02 19:10:00.000	1	20	20	20	Philadelphia Phillies	Miami Marlins	N. Pivetta (R)	J. Urena (R)	7.61999988555908	3.35999989509583
125	2017-09-02 19:15:00.000	1	20	20	20	Los Angeles Angels	Texas Rangers	R. Nolasco (R)	A. Griffin (R)	5.19999980926514	5.8899998664856
126	2017-09-02 20:10:00.000	1	20	20	20	Arizona Diamondbacks	Colorado Rockies	P. Corbin (L)	J. Gray (R)	5.38000011444092	3
127	2017-09-02 21:10:00.000	1	20	20	20	Oakland Athletics	Seattle Mariners	S. Manaea (L)	A. Albers (L)	4.5	1.79999995231628
128	2017-09-02 22:10:00.000	1	20	20	20	Los Angeles Dodgers	San Diego Padres	R. Hill (L)	J. Chacin (R)	3.49000000953674	1.86000001430511
129	2017-09-03 13:10:00.000	1	20	20	20	Cleveland Indians	Detroit Tigers	T. Bauer (R)	M. Fulmer (R)	5.5	3.38000011444092
130	2017-09-03 13:10:00.000	1	20	20	20	Philadelphia Phillies	Miami Marlins	M. Leiter Jr. (R)	J. Nicolino (L)	6.03000020980835	3.3199999332428
131	2017-09-03 13:35:00.000	1	20	20	20	Toronto Blue Jays	Baltimore Orioles	T. Koehler (R)	W. Miley (L)	0	4.75
132	2017-09-03 13:35:00.000	1	20	20	20	Cincinnati Reds	Pittsburgh Pirates	A. Wojciechowski (R)	T. Williams (R)	8.68000030517578	4.07999992370605
133	2017-09-03 14:10:00.000	1	20	20	20	Tampa Bay Rays	Chicago White Sox	A. Pruitt (R)	J. Shields (R)	5.65000009536743	5.90999984741211
134	2017-09-03 14:10:00.000	1	20	20	20	Washington Nationals	Milwaukee Brewers	S. Strasburg (R)	M. Garza (R)	2.4300000667572	3.6800000667572
